...1,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,qiita_sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex,ATTRIBUTE_cage_no,ATTIBUTE_mouse_no,ATTRIBUTE_Study_Day,ATTRIBUTE_Diet,ATTRIBUTE_Birth date,ATTRIBUTE_Mouse_weight,ATTRIBUTE_Change_mouse_weight,ATTRIBUTE_Diet_2
181.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),181.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,06/19/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_181.mzML,not applicable,UBERON:0001988,not applicable,3709314,1,75,Normal,03/07/19,22.83,1.49,Switch_N
182.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),182.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,06/19/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_182.mzML,not applicable,UBERON:0001988,not applicable,3709314,2,75,Normal,03/07/19,21.1,-0.85,Switch_N
183.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),183.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,06/19/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_183.mzML,not applicable,UBERON:0001988,not applicable,3709314,3,75,Normal,03/07/19,18.65,0.55,Switch_N
184.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),184.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,06/19/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_184.mzML,not applicable,UBERON:0001988,not applicable,3709316,4,75,Normal,03/01/19,26.29,1.69,Switch_N
185.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),185.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,06/19/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_185.mzML,not applicable,UBERON:0001988,not applicable,3709316,5,75,Normal,03/01/19,25.38,1.56,Switch_N
186.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),186.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,06/19/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_186.mzML,not applicable,UBERON:0001988,not applicable,3709312,6,75,Deficient,03/04/19,11.45,-1.16,Switch_N
187.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),187.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,06/19/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_187.mzML,not applicable,UBERON:0001988,not applicable,3709312,7,75,Deficient,03/04/19,21.9,0.76,Switch_N
188.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),188.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,06/19/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_188.mzML,not applicable,UBERON:0001988,not applicable,3709312,8,75,Deficient,03/04/19,24.78,1.48,Switch_N
189.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),189.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,06/19/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_189.mzML,not applicable,UBERON:0001988,not applicable,3709311,9,75,Deficient,03/01/19,26.76,0.56,Switch_N
190.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),190.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,06/19/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_190.mzML,not applicable,UBERON:0001988,not applicable,3709311,10,75,Deficient,03/01/19,26.85,0.58,Switch_N
191.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),191.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,06/19/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_191.mzML,not applicable,UBERON:0001988,not applicable,3709310,11,75,0.6% Fe,03/01/19,20.22,0.78,Switch_N
192.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),192.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,06/19/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_192.mzML,not applicable,UBERON:0001988,not applicable,3709310,12,75,0.6% Fe,03/01/19,21.16,0.76,Switch_N
193.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),193.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,06/19/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_193.mzML,not applicable,UBERON:0001988,not applicable,3709310,13,75,0.6% Fe,03/01/19,20.48,0.48,Switch_N
194.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),194.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,06/19/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_194.mzML,not applicable,UBERON:0001988,not applicable,3709317,14,75,0.6% Fe,03/07/19,21.7,0.18,Switch_N
195.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),195.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,06/19/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_195.mzML,not applicable,UBERON:0001988,not applicable,3709317,15,75,0.6% Fe,03/07/19,21.28,0.48,Switch_N
