rowname,Met-C6:0,Met-C6:0_110,sum_met_c6,PC(20:2/0:0); [M+H]+ C28H55N1O7P1,PC(20:2/0:0); [M+H]+ C28H55N1O7P1_138,sum_PC,Spectral Match to Stearidonic acid from NIST14,ATTIBUTE_mouse_no,ATTRIBUTE_Study_Day,ATTRIBUTE_Diet
10.mzML,5.06E-07,5.06E-07,1.01292438469166E-06,0.000121802,5.06E-07,0.000122308,5.06E-07,10,0,Deficient
100.mzML,9.84E-07,9.84E-07,1.9671265784301E-06,1.01E-05,9.84E-07,0.000011084,9.84E-07,10,33,Deficient
101.mzML,9.24E-07,9.24E-07,1.8475628332478E-06,4.37E-05,3.01E-05,0.0000738,1.59E-05,11,33,0.6% Fe
102.mzML,6.45E-07,6.45E-07,1.29053112234339E-06,0.00019204,2.69E-05,0.00021894,0.000810171,12,33,0.6% Fe
103.mzML,3.42E-05,1.15E-06,3.53270402649558E-05,9.32E-05,1.15E-06,0.00009435,1.65E-05,13,33,0.6% Fe
104.mzML,1.71E-06,1.71E-06,3.42707719842306E-06,0.000146785,5.75E-05,0.000204285,3.76E-05,14,33,0.6% Fe
105.mzML,1.04E-06,1.04E-06,2.0884103223048E-06,0.000617156,0.000103582,0.000720738,0.000230807,15,33,0.6% Fe
12.mzML,5.59E-07,5.59E-07,1.1187804287458E-06,7.62E-05,5.59E-07,0.000076759,9.58E-07,12,0,0.6% Fe
121.mzML,2.91E-06,2.91E-06,5.8115938461333E-06,2.91E-06,2.91E-06,0.00000582,2.91E-06,1,47,Normal
122.mzML,3.47E-07,3.47E-07,6.94737538934768E-07,3.47E-07,3.47E-07,0.000000694,3.47E-07,2,47,Normal
123.mzML,4.53E-07,4.53E-07,9.0694341650531E-07,4.53E-07,4.53E-07,0.000000906,4.53E-07,3,47,Normal
124.mzML,7.13E-07,7.13E-07,1.42593980410971E-06,6.73E-06,7.13E-07,0.000007443,7.13E-07,4,47,Normal
125.mzML,1.06E-06,1.06E-06,2.11255041311896E-06,1.06E-06,1.06E-06,0.00000212,1.06E-06,5,47,Normal
126.mzML,1.01E-06,1.01E-06,2.01715006302628E-06,1.01E-06,2.58E-05,0.00002681,1.01E-06,6,47,Deficient
128.mzML,3.55E-07,3.55E-07,7.10389375747906E-07,4.33E-06,6.27E-06,0.0000106,3.55E-07,8,47,Deficient
129.mzML,9.99E-07,9.99E-07,1.99770494526028E-06,9.99E-07,9.99E-07,0.000001998,9.99E-07,9,47,Deficient
13.mzML,7.38E-07,7.38E-07,1.47552040997554E-06,7.76E-06,7.38E-07,0.000008498,7.38E-07,13,0,0.6% Fe
130.mzML,3.28E-06,7.59E-07,4.03493326380012E-06,7.59E-07,7.59E-07,0.000001518,7.59E-07,10,47,Deficient
131.mzML,1.13E-06,1.13E-06,2.25186216033936E-06,1.18E-05,1.13E-06,0.00001293,0.001189054,11,47,0.6% Fe
132.mzML,6.64E-07,6.64E-07,1.32755616438998E-06,2.05E-05,4.87E-05,0.0000692,0.001072769,12,47,0.6% Fe
133.mzML,9.37E-07,9.37E-07,1.87383454285632E-06,4.58E-05,0.000104265,0.000150065,0.000303454,13,47,0.6% Fe
135.mzML,1.51E-06,1.51E-06,3.02338215138496E-06,1.51E-06,6.59E-06,0.0000081,6.97E-05,15,47,0.6% Fe
137.mzML,4.88E-07,4.88E-07,9.76398506234214E-07,0.000282249,4.88E-07,0.000282737,4.88E-07,2,54,Normal
138.mzML,1.29E-06,1.29E-06,2.58856722355226E-06,1.98E-05,3.52E-05,0.000055,1.29E-06,3,54,Normal
139.mzML,5.11E-07,5.11E-07,1.02125999195309E-06,1.84E-06,6.93E-06,0.00000877,5.11E-07,4,54,Normal
14.mzML,3.51E-07,3.51E-07,7.01864774523414E-07,0.000110589,3.51E-07,0.00011094,3.51E-07,14,0,0.6% Fe
140.mzML,1.81E-06,1.81E-06,3.62505871585362E-06,1.81E-06,1.44E-05,0.00001621,1.81E-06,5,54,Normal
142.mzML,3.05E-07,3.05E-07,6.10473084624276E-07,3.05E-07,5.20E-06,0.000005505,3.05E-07,7,54,Deficient
143.mzML,8.81E-07,8.81E-07,1.76159947497457E-06,8.81E-07,1.99E-05,0.000020781,8.81E-07,8,54,Deficient
144.mzML,4.16E-06,5.05E-07,4.66876714823294E-06,5.05E-07,5.05E-07,0.00000101,5.05E-07,9,54,Deficient
145.mzML,8.10E-06,6.94E-07,8.79276160824452E-06,6.94E-07,6.94E-07,0.000001388,6.94E-07,10,54,Deficient
147.mzML,6.85E-07,6.85E-07,1.37067545454758E-06,6.85E-07,8.87E-05,0.000089385,0.001888615,12,54,0.6% Fe
148.mzML,1.62E-05,1.11E-06,1.73540301592138E-05,3.06E-05,0.000138594,0.000169194,0.00143864,13,54,0.6% Fe
149.mzML,5.20E-07,5.20E-07,1.04045675450748E-06,5.94E-06,0.000103872,0.000109812,6.58E-05,14,54,0.6% Fe
15.mzML,7.17E-07,7.17E-07,1.43400113815357E-06,4.95E-06,1.58E-05,0.00002075,7.17E-07,15,0,0.6% Fe
150.mzML,8.68E-07,5.57E-07,1.42541209013436E-06,4.40E-05,5.41E-05,0.0000981,2.99E-05,15,54,0.6% Fe
151.mzML,4.78E-07,4.78E-07,9.5560994285773E-07,4.78E-07,1.65E-05,0.000016978,4.78E-07,1,61,Normal
152.mzML,1.79E-06,1.79E-06,3.57836494829238E-06,1.79E-06,1.79E-06,0.00000358,1.79E-06,2,61,Normal
153.mzML,4.00E-07,4.00E-07,7.99622874193364E-07,2.32E-06,6.25E-06,0.00000857,4.00E-07,3,61,Normal
154.mzML,4.64E-06,6.56E-07,5.29379364253026E-06,6.30E-06,1.09E-05,0.0000172,6.56E-07,4,61,Normal
155.mzML,6.51E-07,6.51E-07,1.30290440504739E-06,1.46E-05,6.51E-07,0.000015251,6.51E-07,5,61,Normal
156.mzML,6.09E-07,3.41E-07,9.4963664036762E-07,3.41E-07,2.27E-06,0.000002611,3.41E-07,6,61,Deficient
157.mzML,4.22E-07,4.22E-07,8.43505760068078E-07,3.65E-06,4.50E-06,0.00000815,4.22E-07,7,61,Deficient
158.mzML,3.55E-07,3.55E-07,7.09545874449674E-07,3.55E-07,3.55E-07,0.00000071,3.55E-07,8,61,Deficient
159.mzML,2.47E-06,5.63E-07,3.03505866091937E-06,4.06E-06,1.47E-05,0.00001876,5.63E-07,9,61,Deficient
16.mzML,5.39E-07,5.39E-07,1.07872170322142E-06,1.78E-05,6.12E-06,0.00002392,5.39E-07,1,4,Normal
160.mzML,8.12E-07,8.12E-07,1.62381313865264E-06,8.12E-07,8.12E-07,0.000001624,8.12E-07,10,61,Deficient
161.mzML,6.70E-07,3.17E-05,3.24065776181996E-05,2.53E-05,5.34E-05,0.0000787,0.0009849,11,61,0.6% Fe
162.mzML,1.43E-05,6.94E-07,1.4992828130091E-05,3.55E-05,0.00010168,0.00013718,0.001665241,12,61,0.6% Fe
163.mzML,1.16E-06,1.16E-06,2.32153502147278E-06,1.70E-05,7.73E-06,0.00002473,0.000216305,13,61,0.6% Fe
164.mzML,1.49E-06,8.00E-05,8.1455505697633E-05,2.85E-05,5.76E-05,0.0000861,0.000439372,14,61,0.6% Fe
165.mzML,6.10E-06,0.000211772,0.000217873,3.21E-05,0.000297886,0.000329986,0.00036401,15,61,0.6% Fe
167.mzML,6.96E-07,6.96E-07,1.39179497541119E-06,6.96E-07,3.26E-06,0.000003956,6.96E-07,2,68,Normal
168.mzML,1.00E-06,4.14E-07,1.41866193233015E-06,4.14E-07,3.11E-05,0.000031514,4.14E-07,3,68,Normal
169.mzML,1.01E-06,1.01E-06,2.0140893825432E-06,1.01E-06,1.30E-05,0.00001401,1.01E-06,4,68,Normal
17.mzML,7.24E-07,7.24E-07,1.44780516420138E-06,1.05E-05,6.30E-06,0.0000168,7.24E-07,2,4,Normal
170.mzML,8.97E-07,5.59E-07,1.45645353092916E-06,5.59E-07,1.91E-05,0.000019659,5.59E-07,5,68,Normal
172.mzML,2.16E-06,4.83E-07,2.64312971095632E-06,4.83E-07,4.98E-06,0.000005463,4.83E-07,7,68,Deficient
173.mzML,5.01E-07,5.01E-07,1.00250510643947E-06,5.01E-07,2.97E-05,0.000030201,5.01E-07,8,68,Deficient
174.mzML,6.88E-07,6.88E-07,1.37540629517848E-06,6.88E-07,1.36E-05,0.000014288,6.88E-07,9,68,Deficient
175.mzML,3.71E-07,3.71E-07,7.41855043969844E-07,4.22E-06,3.29E-05,0.00003712,3.71E-07,10,68,Deficient
177.mzML,3.73E-06,0.000221038,0.00022477,1.61E-05,0.000147825,0.000163925,0.002000115,12,68,0.6% Fe
178.mzML,2.17E-06,5.81E-05,6.02682452189988E-05,2.05E-05,0.00011418,0.00013468,0.000110712,13,68,0.6% Fe
179.mzML,3.22E-06,0.000182956,0.000186171,5.05E-05,0.000353366,0.000403866,0.001458359,14,68,0.6% Fe
18.mzML,6.05E-07,6.05E-07,1.2096755046072E-06,2.42E-05,1.66E-05,0.0000408,6.05E-07,3,4,Normal
180.mzML,1.48E-06,0.000169903,0.000171384,3.38E-05,0.000175244,0.000209044,0.001307978,15,68,0.6% Fe
181.mzML,3.80E-06,9.70E-07,4.77352427043745E-06,9.70E-07,9.70E-07,0.00000194,9.70E-07,1,75,Normal
182.mzML,1.40E-06,8.69E-07,2.2735076664986E-06,8.69E-07,3.31E-05,0.000033969,8.69E-07,2,75,Normal
183.mzML,7.15E-07,7.15E-07,1.42900217834577E-06,7.15E-07,0.000115239,0.000115954,7.15E-07,3,75,Normal
184.mzML,1.08E-06,1.08E-06,2.1586789526183E-06,1.08E-06,1.17E-05,0.00001278,1.08E-06,4,75,Normal
185.mzML,1.72E-06,9.10E-07,2.62672945584372E-06,9.10E-07,2.54E-05,0.00002631,9.10E-07,5,75,Normal
186.mzML,7.50E-07,7.50E-07,1.49952923631112E-06,7.50E-07,1.43E-05,0.00001505,7.50E-07,6,75,Deficient
187.mzML,4.82E-07,4.82E-07,9.6394826536891E-07,4.82E-07,6.56E-05,0.000066082,4.82E-07,7,75,Deficient
188.mzML,5.77E-07,5.77E-07,1.1535993020033E-06,5.77E-07,2.62E-05,0.000026777,5.77E-07,8,75,Deficient
189.mzML,2.19E-06,5.09E-07,2.69898650226185E-06,5.09E-07,5.09E-07,0.000001018,5.09E-07,9,75,Deficient
19.mzML,8.06E-07,8.06E-07,1.61166613039063E-06,9.78E-06,8.04E-06,0.00001782,8.06E-07,4,4,Normal
190.mzML,5.62E-07,5.62E-07,1.12443303657179E-06,5.62E-07,5.62E-07,0.000001124,5.62E-07,10,75,Deficient
191.mzML,8.83E-07,0.000293993,0.000294876,8.83E-07,0.000162992,0.000163875,0.001523548,11,75,0.6% Fe
192.mzML,6.95E-07,0.000217661,0.000218356,1.48E-05,0.000237877,0.000252677,0.000966626,12,75,0.6% Fe
193.mzML,6.02E-06,0.000159821,0.000165844,2.38E-05,7.99E-05,0.0001037,0.001267175,13,75,0.6% Fe
194.mzML,1.45E-06,4.59E-05,4.73621562567175E-05,1.79E-05,0.000147689,0.000165589,8.26E-05,14,75,0.6% Fe
195.mzML,8.18E-07,0.00018969,0.000190508,1.83E-05,0.000609643,0.000627943,0.001205957,15,75,0.6% Fe
197.mzML,6.65E-07,6.65E-07,1.32979968814159E-06,6.65E-07,8.04E-06,0.000008705,6.65E-07,2,82,Normal
198.mzML,1.94E-06,7.87E-07,2.72548306978309E-06,7.87E-07,8.58E-06,0.000009367,7.87E-07,3,82,Normal
199.mzML,1.36E-06,1.36E-06,2.72817266580244E-06,1.36E-06,1.40E-05,0.00001536,1.36E-06,4,82,Normal
2.mzML,6.63E-07,6.63E-07,1.32578610052401E-06,1.61E-05,6.50E-06,0.0000226,6.63E-07,2,0,Normal
200.mzML,6.11E-07,6.11E-07,1.22225608642818E-06,7.88E-06,1.22E-05,0.00002008,6.11E-07,5,82,Normal
202.mzML,1.44E-06,4.50E-07,1.89272681724557E-06,4.50E-07,9.25E-06,0.0000097,4.50E-07,7,82,Deficient
203.mzML,6.56E-07,6.56E-07,1.31284309478999E-06,6.56E-07,6.56E-07,0.000001312,6.56E-07,8,82,Deficient
204.mzML,5.52E-07,5.52E-07,1.10455849096666E-06,5.52E-07,2.23E-06,0.000002782,5.52E-07,9,82,Deficient
205.mzML,5.48E-06,6.33E-07,6.11662975390674E-06,6.33E-07,6.33E-07,0.000001266,6.33E-07,10,82,Deficient
207.mzML,4.85E-07,4.85E-07,9.69329306637802E-07,4.85E-07,4.63E-05,0.000046785,4.85E-07,12,82,0.6% Fe
208.mzML,6.61E-07,6.61E-07,1.32195248080287E-06,6.61E-07,6.61E-07,0.000001322,6.61E-07,13,82,0.6% Fe
21.mzML,8.89E-07,8.89E-07,1.77864336029109E-06,8.00E-05,8.89E-07,0.000080889,8.89E-07,6,4,Deficient
210.mzML,6.33E-07,6.33E-07,1.26543700612702E-06,6.33E-07,6.15E-05,0.000062133,2.91E-06,15,82,0.6% Fe
211.mzML,7.46E-07,7.46E-07,1.49169719072498E-06,7.46E-07,6.90E-05,0.000069746,7.46E-07,1,96,Normal
212.mzML,9.49E-07,9.49E-07,1.89784518717854E-06,9.49E-07,0.000167952,0.000168901,9.49E-07,2,96,Normal
213.mzML,9.40E-07,6.00E-07,1.54049206489652E-06,6.81E-06,0.000112975,0.000119785,6.00E-07,3,96,Normal
214.mzML,1.05E-06,6.32E-07,1.6804027152918E-06,6.32E-07,9.70E-06,0.000010332,6.32E-07,4,96,Normal
215.mzML,7.02E-07,7.02E-07,1.40306372815066E-06,7.02E-07,0.000158573,0.000159275,7.02E-07,5,96,Normal
216.mzML,1.48E-06,1.48E-06,2.96349610150272E-06,1.48E-06,3.37E-05,0.00003518,1.48E-06,6,96,Deficient
217.mzML,4.78E-06,4.91E-07,5.27194683853696E-06,4.91E-07,2.78E-05,0.000028291,4.91E-07,7,96,Deficient
218.mzML,6.28E-07,6.28E-07,1.25657644374689E-06,6.28E-07,6.17E-05,0.000062328,6.28E-07,8,96,Deficient
219.mzML,7.65E-07,7.65E-07,1.52965790552036E-06,7.65E-07,4.52E-05,0.000045965,7.65E-07,9,96,Deficient
22.mzML,6.83E-07,6.83E-07,1.36605164267554E-06,4.17E-05,6.83E-07,0.000042383,6.83E-07,7,4,Deficient
220.mzML,7.24E-07,7.24E-07,1.44834522427167E-06,7.24E-07,1.78E-05,0.000018524,7.24E-07,10,96,Deficient
221.mzML,1.74E-06,4.07E-07,2.15227749870986E-06,4.07E-07,3.09E-05,0.000031307,4.07E-07,11,96,0.6% Fe
222.mzML,1.28E-05,1.28E-05,2.56378228042384E-05,1.28E-05,1.28E-05,0.0000256,1.28E-05,12,96,0.6% Fe
223.mzML,2.13E-07,2.13E-07,4.26728188255192E-07,2.13E-07,2.12E-06,0.000002333,2.13E-07,13,96,0.6% Fe
224.mzML,5.13E-07,5.13E-07,1.02629770060407E-06,5.13E-07,2.08E-06,0.000002593,5.13E-07,14,96,0.6% Fe
225.mzML,7.16E-07,7.16E-07,1.43167945602667E-06,7.16E-07,7.12E-06,0.000007836,7.16E-07,15,96,0.6% Fe
23.mzML,5.10E-07,5.10E-07,1.01903029504665E-06,2.28E-05,1.50E-05,0.0000378,5.10E-07,8,4,Deficient
24.mzML,8.88E-07,8.88E-07,1.77565644384463E-06,5.47E-06,8.88E-07,0.000006358,8.88E-07,9,4,Deficient
25.mzML,5.52E-07,5.52E-07,1.10478126410325E-06,6.81E-06,5.52E-07,0.000007362,5.52E-07,10,4,Deficient
26.mzML,3.72E-05,1.23E-06,3.84652413291423E-05,9.50E-06,1.02E-05,0.0000197,8.63E-06,11,4,0.6% Fe
27.mzML,6.44E-05,9.26E-07,6.52976526747225E-05,0.000102586,9.26E-07,0.000103512,5.42E-06,12,4,0.6% Fe
28.mzML,1.11E-06,1.11E-06,2.21707780597342E-06,2.33E-06,1.11E-06,0.00000344,1.11E-06,13,4,0.6% Fe
29.mzML,0.000164993,8.70E-07,0.000165863,0.00117761,8.70E-07,0.00117848,1.07E-05,14,4,0.6% Fe
3.mzML,4.92E-07,4.92E-07,9.84354324789102E-07,0.000175329,4.92E-07,0.000175821,4.92E-07,3,0,Normal
30.mzML,0.000368474,1.09E-06,0.000369568,0.001016232,2.44E-05,0.001040632,0.000137639,15,4,0.6% Fe
32.mzML,6.88E-07,6.88E-07,1.37558811721079E-06,4.81E-06,6.88E-07,0.000005498,6.88E-07,2,8,Normal
33.mzML,4.57E-07,4.57E-07,9.14057679136292E-07,3.71E-05,7.44E-06,0.00004454,4.57E-07,3,8,Normal
34.mzML,1.18E-06,1.18E-06,2.35157359533708E-06,1.39E-05,1.18E-06,0.00001508,1.18E-06,4,8,Normal
35.mzML,1.03E-06,1.03E-06,2.05793970337102E-06,1.03E-06,1.03E-06,0.00000206,1.03E-06,5,8,Normal
36.mzML,5.84E-07,5.84E-07,1.16741800159808E-06,5.44E-05,1.34E-05,0.0000678,5.84E-07,6,8,Deficient
38.mzML,3.82E-07,3.82E-07,7.64767676366152E-07,1.34E-05,3.82E-07,0.000013782,3.82E-07,8,8,Deficient
39.mzML,6.18E-07,6.18E-07,1.23546594677946E-06,2.03E-05,5.72E-06,0.00002602,6.18E-07,9,8,Deficient
4.mzML,5.75E-07,5.75E-07,1.15043013807211E-06,1.77E-05,5.75E-07,0.000018275,1.68E-06,4,0,Normal
40.mzML,5.54E-07,5.54E-07,1.10843425002634E-06,4.71E-06,5.54E-07,0.000005264,5.54E-07,10,8,Deficient
42.mzML,4.84E-05,9.68E-07,4.9336183850498E-05,0.000170575,9.68E-07,0.000171543,0.000173046,12,8,0.6% Fe
43.mzML,4.65E-05,1.01E-06,4.75431753017872E-05,7.41E-05,1.01E-06,0.00007511,4.73E-06,13,8,0.6% Fe
44.mzML,5.87E-05,1.32E-06,6.00569871500741E-05,4.54E-05,1.32E-06,0.00004672,2.50E-05,14,8,0.6% Fe
45.mzML,3.62E-05,8.75E-07,3.71229124754837E-05,0.000340303,7.22E-06,0.000347523,2.49E-05,15,8,0.6% Fe
46.mzML,5.24E-07,5.24E-07,1.04838564490512E-06,1.21E-05,5.24E-07,0.000012624,5.24E-07,1,12,Normal
47.mzML,4.39E-07,4.39E-07,8.78918952084644E-07,1.41E-05,4.39E-07,0.000014539,4.39E-07,2,12,Normal
48.mzML,5.13E-07,5.13E-07,1.02500818529765E-06,1.82E-05,5.37E-06,0.00002357,5.13E-07,3,12,Normal
49.mzML,7.30E-07,7.30E-07,1.4597552618186E-06,2.75E-06,8.78E-06,0.00001153,7.30E-07,4,12,Normal
5.mzML,6.73E-07,6.73E-07,1.34674904608767E-06,6.73E-07,6.40E-06,0.000007073,6.73E-07,5,0,Normal
50.mzML,8.09E-07,8.09E-07,1.61704233345925E-06,8.09E-07,7.53E-06,0.000008339,8.09E-07,5,12,Normal
51.mzML,1.10E-06,1.10E-06,2.1946068597997E-06,1.19E-05,1.10E-06,0.000013,1.10E-06,6,12,Deficient
52.mzML,3.60E-07,3.60E-07,7.19537258282894E-07,1.72E-05,5.59E-06,0.00002279,3.60E-07,7,12,Deficient
53.mzML,5.29E-07,5.29E-07,1.05898451601457E-06,2.86E-05,5.03E-06,0.00003363,5.29E-07,8,12,Deficient
54.mzML,8.84E-07,8.84E-07,1.76784980449706E-06,7.44E-06,8.84E-07,0.000008324,8.84E-07,9,12,Deficient
55.mzML,4.84E-07,4.84E-07,9.675411250904E-07,4.22E-05,7.49E-06,0.00004969,4.84E-07,10,12,Deficient
56.mzML,4.15E-06,9.25E-07,5.07741929045069E-06,4.77E-05,9.25E-07,0.000048625,3.86E-05,11,12,0.6% Fe
57.mzML,8.82E-07,8.82E-07,1.76499126816019E-06,8.09E-06,8.82E-07,0.000008972,4.39E-05,12,12,0.6% Fe
58.mzML,2.70E-06,6.24E-07,3.32299392652146E-06,9.04E-05,6.24E-07,0.000091024,5.39E-05,13,12,0.6% Fe
59.mzML,8.72E-06,1.25E-06,9.97156383359433E-06,2.64E-05,1.25E-06,0.00002765,3.67E-05,14,12,0.6% Fe
60.mzML,1.18E-06,1.18E-06,2.35684373998828E-06,0.000350778,2.44E-05,0.000375178,4.98E-05,15,12,0.6% Fe
61.mzML,9.36E-07,9.36E-07,1.87142169298745E-06,1.04E-05,9.36E-07,0.000011336,9.36E-07,1,19,Normal
62.mzML,6.51E-07,6.51E-07,1.30285654666765E-06,6.51E-07,6.51E-07,0.000001302,6.51E-07,2,19,Normal
63.mzML,8.40E-07,8.40E-07,1.68056252554676E-06,8.29E-06,8.40E-07,0.00000913,8.40E-07,3,19,Normal
64.mzML,7.35E-07,7.35E-07,1.47070928444146E-06,3.48E-05,1.35E-05,0.0000483,7.35E-07,4,19,Normal
65.mzML,5.81E-07,5.81E-07,1.16278552453074E-06,0.00016469,1.06E-05,0.00017529,5.81E-07,5,19,Normal
66.mzML,1.00E-06,1.00E-06,2.00476375304542E-06,0.000118018,1.00E-06,0.000119018,1.00E-06,6,19,Deficient
67.mzML,6.38E-07,6.38E-07,1.27668944931923E-06,3.66E-05,6.38E-07,0.000037238,6.38E-07,7,19,Deficient
68.mzML,6.89E-07,6.89E-07,1.37733106226432E-06,3.27E-05,6.89E-07,0.000033389,6.89E-07,8,19,Deficient
69.mzML,1.31E-06,1.31E-06,2.61839076735132E-06,9.16E-06,1.31E-06,0.00001047,1.31E-06,9,19,Deficient
7.mzML,6.48E-07,6.48E-07,1.29500856698719E-06,3.08E-05,6.48E-07,0.000031448,1.80E-06,7,0,Deficient
70.mzML,8.79E-07,8.79E-07,1.75721974998201E-06,0.000154529,1.27E-05,0.000167229,8.79E-07,10,19,Deficient
71.mzML,8.70E-07,8.70E-07,1.739522752239E-06,0.000487098,1.93E-05,0.000506398,0.001284828,11,19,0.6% Fe
72.mzML,1.17E-06,1.17E-06,2.34142729830788E-06,0.000120534,8.99E-06,0.000129524,0.000160248,12,19,0.6% Fe
73.mzML,1.18E-06,1.18E-06,2.36433879456226E-06,4.01E-05,1.18E-06,0.00004128,0.001250996,13,19,0.6% Fe
74.mzML,8.40E-07,8.40E-07,1.68015673607835E-06,0.000672818,3.68E-05,0.000709618,5.51E-05,14,19,0.6% Fe
75.mzML,1.30E-06,1.30E-06,2.6059411021473E-06,0.000310455,1.30E-06,0.000311755,7.86E-05,15,19,0.6% Fe
77.mzML,5.68E-07,5.68E-07,1.13651229219841E-06,8.28E-06,5.68E-07,0.000008848,5.68E-07,2,26,Normal
78.mzML,5.59E-07,5.59E-07,1.11895839455867E-06,7.68E-06,5.59E-07,0.000008239,5.59E-07,3,26,Normal
79.mzML,7.08E-07,7.08E-07,1.41569340714781E-06,1.65E-05,7.08E-07,0.000017208,7.08E-07,4,26,Normal
8.mzML,4.90E-07,4.90E-07,9.80779276305954E-07,6.25E-06,4.90E-07,0.00000674,4.90E-07,8,0,Deficient
80.mzML,5.84E-07,5.84E-07,1.16854653415278E-06,3.39E-06,5.84E-07,0.000003974,5.84E-07,5,26,Normal
83.mzML,5.38E-07,5.38E-07,1.07629152237805E-06,2.27E-05,5.38E-07,0.000023238,5.38E-07,8,26,Deficient
84.mzML,8.60E-07,8.60E-07,1.72048867521403E-06,2.55E-05,1.00E-05,0.0000355,8.60E-07,9,26,Deficient
85.mzML,8.34E-07,8.34E-07,1.66740157559218E-06,8.57E-06,8.34E-07,0.000009404,8.34E-07,10,26,Deficient
87.mzML,1.08E-06,1.08E-06,2.15289442150122E-06,5.13E-05,1.39E-05,0.0000652,0.000172661,12,26,0.6% Fe
88.mzML,1.40E-06,1.40E-06,2.794840422306E-06,4.36E-05,1.40E-06,0.000045,6.17E-05,13,26,0.6% Fe
89.mzML,1.51E-05,1.14E-06,1.62630750891464E-05,2.03E-05,1.14E-06,0.00002144,5.57E-06,14,26,0.6% Fe
9.mzML,5.84E-07,5.84E-07,1.1687159663596E-06,5.84E-07,5.84E-07,0.000001168,5.84E-07,9,0,Deficient
90.mzML,8.28E-05,1.33E-06,8.41350488529131E-05,6.37E-05,1.33E-06,0.00006503,3.52E-05,15,26,0.6% Fe
91.mzML,2.30E-07,2.30E-07,4.60171226542706E-07,8.90E-05,1.21E-05,0.0001011,2.30E-07,1,33,Normal
92.mzML,7.05E-07,7.05E-07,1.40971203577545E-06,0.000143167,1.26E-05,0.000155767,7.05E-07,2,33,Normal
93.mzML,8.80E-07,8.80E-07,1.76017388145594E-06,7.67E-05,9.04E-06,0.00008574,8.80E-07,3,33,Normal
94.mzML,6.54E-07,6.54E-07,1.30899180883807E-06,1.03E-05,6.54E-07,0.000010954,6.54E-07,4,33,Normal
95.mzML,7.48E-07,7.48E-07,1.49579016678042E-06,1.43E-05,7.48E-07,0.000015048,7.48E-07,5,33,Normal
96.mzML,5.00E-07,5.00E-07,1.00073905260928E-06,3.61E-05,4.42E-06,0.00004052,5.00E-07,6,33,Deficient
97.mzML,8.30E-07,8.30E-07,1.65906771901435E-06,2.76E-05,8.30E-07,0.00002843,8.30E-07,7,33,Deficient
98.mzML,3.90E-07,3.90E-07,7.80050151389656E-07,4.07E-05,4.27E-06,0.00004497,3.90E-07,8,33,Deficient
99.mzML,1.18E-06,1.18E-06,2.36147907948716E-06,1.02E-05,1.18E-06,0.00001138,1.18E-06,9,33,Deficient